yy;mm;dd;5813_2;5817_1;5820;5832;5833;5849_2;5863;5868_1;5870;5880_1;5882_1;5884;5887;5888;5889;5893;5919;5924;5926;5933;5934;5937_2;5941_1;6933;7136;7144;7203_1;14233_1;14437_1
1961;4;17;NA;NA;0.4;30;NA;0.4;8;15.2;0;17.8;25.2;0;1;9.6;2;NA;10.5;29.4;0;8.8;1;40.6;57.6;14;0;28.6;20.2;13.4;12.8
1961;4;18;NA;NA;3.2;0;NA;5.8;1.6;19.6;7.4;0;12;3.7;3.8;17.4;2.2;NA;0;5.4;4.8;1;0.8;32.6;0;14;7;11.3;18;13;13.2
1961;4;19;NA;NA;0;0;NA;0;0.2;1.2;0;0;0;0.1;0.2;0.8;0.2;NA;0;0;0;0;0;0;0;0.6;0;0;0;0.2;0.2
1961;4;20;NA;NA;0;0;NA;0;0;0;0;0;0.2;0;0;0.2;0;NA;0;0;0;0;0;0;0;0;0;0;0;0.2;0
1961;4;21;NA;NA;0;0;NA;0.4;1;0;0;0;0;0.4;1.2;0;0;NA;0;0;0;0;0;0;0;0;0;0;1.6;0;0
1961;4;22;NA;NA;12;85;NA;23.6;40.8;51.2;13.6;45.4;28.8;14;20;15.8;13.8;NA;75.7;74;13.4;32;37.2;75;58.8;45.4;0.2;21.5;55.6;31.4;12.2
1961;4;23;NA;NA;14.4;19;NA;39.6;14.4;6.4;16.6;4.2;12.4;9.8;10;7.6;16.8;NA;5;2.2;17.8;3.6;15;15.6;18.6;7;37;12.3;13.4;16;14.6
1961;4;24;NA;NA;64;54;NA;21.8;90.6;89;56.4;44.6;92.6;85.8;110;79.2;56;NA;78.4;80;73.4;26.6;83;92.2;80.8;64;36.4;35.8;77;71;80.6
1961;4;25;NA;NA;0.6;7;NA;0;0.2;11.6;0;0;11.2;1;0.4;0.8;0;NA;0;0.4;0.2;0.8;0;2.4;0.8;3.6;0;0;3;7;31.6
1961;4;26;NA;NA;8.2;2;NA;23.2;3.2;0;12.6;0.6;0.6;5.1;5;2.4;8;NA;0;0.4;14.4;0.8;0.8;0;0.2;0;10.2;0;8.2;0.6;0.4
1961;4;27;NA;NA;11.4;6;NA;14.4;12.2;13;9.8;5;14;9.9;20;14;12.6;NA;9.5;10.8;6;4.8;9;17.4;13.8;9.6;20.4;12.3;10;12.6;7.4
1961;4;28;NA;NA;0;0;NA;0;0;0;0;0;0;0;0.2;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0.2;0
1961;4;29;NA;NA;0.4;0;NA;0;0.2;0;0;0;0;0;0.2;4.2;0.2;NA;0;0;0;0;13.4;0;0;0;2;0;0;0;0
1961;4;30;NA;NA;0;0;NA;0;0;0.4;0;0;0;0;0;3.4;0;NA;0;0.2;0;0;0.6;0;0.2;0.8;0;0;0;0.2;0
1961;5;1;NA;NA;0;2;NA;0;0;0;0;0;0;0;0;0;0;NA;6;0.2;0;1.8;0;1.6;1.6;0;0;0;0;0;0.2
1961;5;2;NA;NA;0;0;NA;1.2;0;0;0;0;0;0;0;0.2;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;5;3;NA;NA;0;1;NA;0;0;0;0;0.4;0;0.1;0;0;0;NA;0;1.2;0;0;0;0;1;0;0;0;0;0;0
1961;5;4;NA;NA;0;2;NA;0;0;1.6;0;1.2;0;0.5;0;0;0;NA;2.5;1.6;0;0;0;0.8;2.4;0;0;2;0;0;0.2
1961;5;5;NA;NA;0;0;NA;0.4;0;0;0;0;0;0.1;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;5;6;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0.2;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;5;7;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0.2;0;0;0;0;0;0;0;0;0;0.2;0
1961;5;8;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;5;9;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;5;10;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;5;11;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;5;12;NA;NA;0;2.5;NA;0.2;0;0.2;0;13.2;0;0;0;0;0;NA;5;5;1.6;0.8;0;4.8;5;0.2;0;0;0;0;0
1961;5;13;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;5;14;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;5;15;NA;NA;0;7.5;NA;0;1.4;4.8;0;0.8;0;0.1;1;0.4;0;NA;2;1.6;0;0;0;3.2;4.6;1.6;0;3;0;1;0
1961;5;16;NA;NA;0;6;NA;0;0.4;1;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0.2;0;0;0;0.2;0
