yy;mm;dd;aeronautica_6827;aeronautica_6828;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6881;aeronautica_6883;aeronautica_6891;aeronautica_6919;aeronautica_6923;calabria_146;calabria_7;calabria_34;calabria_127;calabria_140;calabria_191;calabria_196;calabria_212;calabria_213;calabria_246;calabria_294;calabria_386;sicilia_11806;sicilia_11807;sicilia_11839;sicilia_11842;sicilia_11843;sicilia_11857;sicilia_11864;sicilia_11876;sicilia_11888;sicilia_11933;sicilia_13881;aeronautica_6812
1971;2;12;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;1;2;1.7;6.4;0;0;0;0;0;0;2;0;0.2;33.5;0;3.6;0;0;NA
1971;2;13;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0.2;0;0;2.2;0;0;0;0;0;0;0.4;NA
1971;2;14;0.4;0;0;0;2;0;0.2;0.1;0;0;0.7;1.2;2.4;0;3.2;0;0;0;0;0;0;0.1;0;0;5;0;0.4;0;0;0;0.2;0;0.2;NA
1971;2;15;1.4;0;5.6;0.8;0;0.4;0;0.6;1.4;0.1;0.1;0.5;2.6;0;1.4;0;0;0;0;0;0.5;0;1.2;6.6;7.5;4;0.2;0;0;2.8;0.8;7.2;0.4;NA
1971;2;16;13.4;NA;0;0;0.2;3.2;2.2;0;7.6;7.4;0.2;0.4;0.2;0;0;0;0;0;0;0;2;0;0.2;1;0;0;0.6;0;0;0;0;0;0;NA
1971;2;17;11.6;0.2;3.8;0.2;7.4;30.6;1.2;4.4;4;6.2;3.2;29;50.7;2.5;14.7;2;4.1;1;2;15.2;3.4;10;15;10.4;25;12;9;0;7.9;11;4.2;12.2;6.6;NA
1971;2;18;4.6;2.2;1;0;1;21.2;1;0;0.2;0;13.1;33.4;9.2;5.7;18.8;27;31.2;25.1;15.8;21.4;40;50;4;3.6;0;3.3;4;0;12.7;5;3.4;16.2;0.8;NA
1971;2;19;3.8;7.6;3.8;1.4;9;5.6;0.6;0.3;3.8;3.4;2.2;33.6;17.1;4.2;7.9;0.8;8.8;1.9;2.6;3.6;3.8;2.6;2.8;6.2;13.7;10;5.2;0;22.9;1.2;0;2.2;3.8;NA
1971;2;20;0.4;11;3;2.8;0.4;14.6;0.6;0.6;0;0;3.6;35.1;19.6;7.8;4.5;0.8;4.6;1.6;3;4.3;20;6;8.4;6.2;0;3;5;7.8;7.4;10;0;14.4;1.4;NA
1971;2;21;0;0;21;1;0;0.8;0;0;0;0;0.6;0;0.6;0;0.8;4;4.4;1.6;2.8;5.2;2.8;0.6;0;0;0;2;0;42.6;0.9;9.8;0.2;18.6;0.4;NA
1971;2;22;0;0;0;0;0;1;0;0;0.6;0.8;0;0;0;0;0;0;0.2;0;0;1.4;0;0;0.6;0;0;0;0;1.6;0;0;0;2.6;0;NA
1971;2;23;0;8.8;0;2;4.8;1.2;1.6;2.3;0;0.1;0;0;0.2;0;0;0;0;0;0;2.5;0.6;0;2.4;0.6;26.5;25.2;11;0.4;5.6;0;0;1.6;1.8;NA
1971;2;24;0;17.8;34.2;31;20.2;9.8;5.6;0;0.1;0.1;7.6;5.3;12.3;5;3.7;3.4;0.9;1.4;2.5;1.8;4.2;12.7;20.2;10;18.7;15;3.8;17;11.5;3;2.2;19.4;10;NA
1971;2;25;0;2.2;33.4;5.4;2.2;5.4;6.6;4.8;0;0;3.2;1.4;2.8;3;3.4;5;5.3;5.9;3.8;8.1;1.7;6.3;28;18.4;0;8;2.2;2;0.9;1.2;0.2;13.2;17.2;NA
1971;2;26;0;0;0.2;0;0;2;0;0;0;0;1.3;0;0.6;0;1.2;0.4;0;8.8;12.8;1.7;0;0;5.2;0.4;8.5;0;0;3.8;0;0.8;0.4;3.2;2;NA
1971;2;27;0;5.2;1.6;0;0;0;0;0;0;0;1.8;6.1;0.6;0;1.7;0.2;1;0;0;0.8;1.8;0;0;0.2;0;0;0;0;0;0;0;0;0.2;NA
1971;2;28;0.1;0;0;0;1.4;1;0;0;0;0.1;8.9;7.1;6;7;11.3;3;0.8;4.8;4.5;0.2;13.2;14.7;0;0;0;0;0;0;0;0;0;0;0;NA
1971;3;1;0;1;0;0;0.4;15;0.6;7.2;1.6;2.8;6.5;8;0;7;2.4;9;4.9;28.3;23.6;18.7;29;0;5.4;6.6;14;0;8.8;14.6;8.9;9.8;66.2;5.2;0;NA
1971;3;2;0;0.1;8.8;0;0;12.8;0.8;0.8;0.1;0.4;3.7;5;6;11.4;14;8;8.2;5.6;6.2;6.2;8;7;2.6;0.2;23.5;1;0.6;5.2;0;3.8;10.6;3;1.4;NA
1971;3;3;0;0;2;0;1.2;7;0.4;0;16.8;19.6;0.1;4;0.6;0;0;10;15;8.8;9.8;11.6;11;2;1.8;0.8;0;0;0;4.2;0;0.4;8.6;3.6;1;NA
1971;3;4;12.9;3.4;9.4;11;7.2;0.8;4;1.4;1.7;3.4;0;61;35.8;5.3;2.4;0;0.3;8.6;4;2.4;1;28;15;23;12;13.2;4.2;13;0;5.4;1;4;8.2;NA
