yy;mm;dd;14158_1;14246_1;14271;9573;9317;14444;9068;9101;9167;9177;9191;9192;9230;9244;9287;9289;9310;9404
1961;1;27;0.8;0;0;13;0;0;NA;1.4;NA;0;NA;NA;0;0;1.3;NA;NA;0
1961;1;28;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;1;29;0;0;0.2;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;1;30;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0.2
1961;1;31;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0.2
1961;2;1;0;0;0;0;0;0;NA;0;NA;0;NA;NA;13;0;0;NA;NA;0
1961;2;2;0.6;0.2;1.2;1.4;1;0;NA;1.3;NA;6;NA;NA;8;0.4;1.2;NA;NA;0.2
1961;2;3;0;0;0;0;0.2;0;NA;0;NA;0;NA;NA;1;0;0;NA;NA;0.6
1961;2;4;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;2;5;0;0;0.2;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;2;6;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;2;7;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;2;8;0;0;2.2;2.8;5;0;NA;5.2;NA;2.8;NA;NA;3;0;0;NA;NA;1.4
1961;2;9;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;2;10;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;2;11;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;2;12;0;0;0;0;0;0;NA;0;NA;0.4;NA;NA;0;0;0;NA;NA;0
1961;2;13;0;0;0;0;0;0;NA;0;NA;0.2;NA;NA;0;0;0;NA;NA;0.2
1961;2;14;0;0;0;0;0;0;NA;0;NA;0.2;NA;NA;0;0;0;NA;NA;0
1961;2;15;0;0;0;0;0.2;0;NA;0;NA;0.2;NA;NA;0;0;0;NA;NA;0
1961;2;16;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0.2
1961;2;17;0;0;0;0;0;0;NA;0;NA;0.2;NA;NA;0;0;0;NA;NA;0
1961;2;18;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0.2
1961;2;19;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;2;20;0;0;0;0;0;0;NA;0;NA;0.2;NA;NA;0;0;0;NA;NA;0.2
1961;2;21;0;0;0;0;0;2;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;2;22;0.2;0;0;0;0.2;0;NA;0;NA;0;NA;NA;7;0.8;0;NA;NA;1.2
