yy;aeronautica_6827;aeronautica_6828;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6881;aeronautica_6883;aeronautica_6891;aeronautica_6919;calabria_7;calabria_34;calabria_127;calabria_191;calabria_212;calabria_294;calabria_386;sardegna_NU010B535;sardegna_NU034B536;sardegna_SS025B563;sardegna_SS038B556;sardegna_SS068B593;sardegna_CA013B093;sardegna_CA021B076;sardegna_CA035B106;sardegna_CA054B109;sardegna_CA073B050;sardegna_CA085B210;sardegna_CA102B148;sardegna_NU001B431;sardegna_NU021B197;sardegna_NU044B105;sardegna_NU052B015;sardegna_NU074B195;sardegna_NU085B070;sardegna_OR030B156;sardegna_SS013B169;sardegna_SS018B022;sardegna_SS044B149;sicilia_11806;sicilia_11839;sicilia_11842;sicilia_11857;sicilia_11864;sicilia_11876;sicilia_11888;sicilia_11933;aeronautica_6812
2008;32;NA;19;18;9;23;13;8;10;22;39;21;20;23;21;22;19;31;26;18;40;27;13;30;16;14;25;26;23;27;26;38;30;24;27;30;27;25;12;10;12;26;20;18;18;9;12
2009;31;NA;NA;20;30;42;18;13;19;49;71;31;29;40;40;33;NA;NA;21;17;35;25;18;37;14;18;38;31;15;19;28;31;34;19;26;13;20;24;40;16;22;54;24;23;21;35;11
2010;39;15;23;NA;16;35;11;15;27;47;77;33;33;36;35;37;NA;NA;28;21;29;27;26;40;23;21;34;34;19;21;32;31;40;31;27;23;27;30;21;19;16;40;26;25;26;19;7
2011;19;18;14;17;16;24;14;18;17;23;38;31;22;30;29;15;NA;NA;20;15;NA;19;13;22;20;13;19;25;26;14;NA;22;24;26;19;15;19;22;22;14;16;33;30;17;29;18;5
2012;NA;11;25;NA;20;28;12;12;15;41;51;23;23;32;33;19;16;24;17;16;28;17;16;27;8;15;22;22;12;17;31;NA;26;15;16;17;25;NA;25;19;20;33;NA;23;19;22;4
2013;NA;10;17;22;21;32;12;NA;16;41;59;29;23;21;35;27;26;39;22;27;39;29;24;37;15;22;25;17;20;23;40;37;NA;30;26;16;NA;31;27;24;23;40;23;28;17;20;15
2014;27;18;19;23;15;31;11;NA;12;38;45;25;22;26;36;18;8;27;18;14;34;23;17;27;6;13;27;11;10;22;20;23;26;11;17;17;8;24;26;14;14;37;13;15;17;26;7
2015;28;15;13;16;22;37;18;17;15;33;46;31;24;34;32;31;21;29;16;20;31;NA;NA;24;13;16;26;NA;19;NA;26;26;NA;NA;NA;NA;NA;18;NA;25;19;46;28;34;33;39;6
2016;20;20;12;12;NA;30;9;10;7;37;NA;25;NA;33;33;16;16;24;16;16;21;15;NA;20;NA;15;NA;22;16;NA;29;NA;NA;NA;15;NA;5;NA;NA;13;12;6;18;16;27;16;8
2017;14;15;9;13;NA;24;14;NA;5;20;39;23;21;22;26;12;13;20;13;13;19;9;10;18;11;NA;NA;11;11;18;17;36;13;14;23;12;11;17;27;18;20;33;22;NA;16;16;9
2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;38;58;37;22;39;44;19;28;42;26;24;39;28;36;36;33;26;40;36;30;22;39;NA;34;39;21;25;26;31;NA;24;20;43;29;32;21;34;NA
2019;43;15;13;16;2;26;8;NA;15;34;45;26;23;31;29;15;18;40;23;24;36;28;24;23;19;25;29;30;15;23;27;36;28;21;18;33;19;28;21;21;16;41;NA;NA;NA;26;12
2020;NA;14;14;18;NA;29;7;14;NA;25;39;20;8;18;26;18;17;27;21;18;28;NA;17;NA;11;NA;22;NA;17;NA;NA;NA;NA;NA;NA;NA;19;NA;23;13;7;NA;NA;NA;NA;15;10
