yy;aeronautica_6827;aeronautica_6828;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6881;aeronautica_6883;aeronautica_6891;aeronautica_6919;calabria_7;calabria_34;calabria_127;calabria_191;calabria_212;calabria_294;calabria_386;sardegna_NU010B535;sardegna_NU034B536;sardegna_SS025B563;sardegna_SS038B556;sardegna_SS068B593;sardegna_CA013B093;sardegna_CA021B076;sardegna_CA035B106;sardegna_CA054B109;sardegna_CA073B050;sardegna_CA085B210;sardegna_CA102B148;sardegna_NU001B431;sardegna_NU021B197;sardegna_NU044B105;sardegna_NU052B015;sardegna_NU074B195;sardegna_NU085B070;sardegna_OR030B156;sardegna_SS013B169;sardegna_SS018B022;sardegna_SS044B149;sicilia_11806;sicilia_11839;sicilia_11842;sicilia_11857;sicilia_11864;sicilia_11876;sicilia_11888;sicilia_11933;aeronautica_6812
2004;214;184;NA;126.2;62;125.6;210.8;92.19999999999999;369.8;NA;249.60000000000002;247.6;189.2;NA;283.2;NA;378.8;189.4;96.8;281.8;37;187;272;342.6;484.4;316.6;217.8;587;158.4;89.8;549.6;55.8;149.4;364.20000000000005;133.8;116.4;106.4;27.4;231.8;NA;359.6;NA;195;81.8;349.2;98.8;60.2
2005;266.8;NA;NA;359.7;112.8;104.9;26.9;127;195;NA;0;56.2;91.2;93.6;313.6;187.20000000000002;0;229.4;170.6;177.8;156.2;36;78.4;104.2;147.2;72;190.79999999999998;470;134.8;186.4;93.2;79.6;40;199.39999999999998;29.6;292.2;35;258.3;102;NA;87.6;233.6;110.4;131.6;187.4;63.2;20.1
2006;184.4;NA;NA;80;157;74.9;64.2;235.3;173.6;NA;NA;103.4;90.2;425;NA;120.2;358.8;50.4;113.4;169;NA;81;244.8;192;475.4;153.6;206.6;182.4;202.2;130.6;483.6;115.4;NA;727;132.8;28.2;91.4;102.39999999999999;79.6;101;75.19999999999999;257;309.8;165.4;625.6;39.8;49.4
2007;50;125;91.9;NA;0;290.2;81.8;163.1;61;91.4;317.8;NA;142.4;61.4;247.2;NA;NA;32.2;65.8;NA;77.4;30.2;30;54.4;105.4;24;49;222.8;307.8;219;NA;92;32.6;83.8;58.4;277;192.8;71.9;202;0;57.8;357.6;NA;124.8;508.4;72;0
2008;41.1;NA;314.7;73.9;119.8;101.9;39.9;72.1;122.2;265.8;713.2;103.8;115.2;278.6;209.4;105.4;242.6;115.6;183.6;91;242.4;90.2;0;216.8;83.4;76.6;39.8;61.4;262.8;85;166.4;252.6;33.6;685.4;170.4;38.4;275.6;142.6;82.6;88.4;0;392.2;194.4;258.4;253.2;0;63.7
2009;357.2;NA;NA;208.1;358.4;428.6;238.2;129;108;325.6;878.6;481.2;398.8;493.6;147.4;257.2;NA;NA;291;92.2;183.8;159.60000000000002;222.79999999999998;125.8;341.6;168.8;112.60000000000001;427.4;334.4;100.2;158.8;128;181.6;274.6;142.8;0;150.39999999999998;0;457.8;289.2;211.8;491.59999999999997;264.4;223.2;277.6;333;89.2
2010;52.1;103.2;308.1;NA;203.1;272.6;85.1;214.2;288;474.2;982.4;347.2;441.8;246.2;233.6;121.4;NA;NA;100.8;75.19999999999999;126.8;110.2;114.80000000000001;295.2;149.39999999999998;168.4;238;213.6;81.80000000000001;152.6;154.6;177;173;218.8;226.4;135.6;88;209.6;114;140.4;59.6;419.6;193;225;279.4;122.4;0
2011;103.2;217.1;142;276.8;164.29999999999998;289.3;34.5;126.30000000000001;311.1;205.4;285.4;449.79999999999995;124.19999999999999;728.8;79.4;80;NA;NA;100;84;NA;77.4;261.38;182.59;162.37;111;343.57;265.57;178.78;157.99;NA;144.97;429.39;313.99;190.78;236.29;293.97;155.6;161.8;83.4;34.4;181.6;180.4;126.60000000000001;730.2;121.2;63
2012;NA;134.6;343.4;NA;129.8;243;52;267.5;106;139.2;347.6;229;259.6;479.4;287.2;210;52.6;237;178.4;87.19999999999999;346.4;131.39000000000001;114.6;296.78000000000003;87.4;134.17000000000002;121.59;128.78;184.79000000000002;331.17;0;NA;130.2;80.19;89.38;121.19;242.8;NA;34.4;114.6;267;38.6;NA;202.6;99.4;78.4;70
2013;NA;147;334.3;160.10000000000002;268;58.9;115.8;NA;25.9;257.6;433;335.6;140;85;178.2;296.8;423.79999999999995;85.19999999999999;85.4;130.6;284.8;142.98;221.77;257.58;213.98000000000002;30.2;136.2;83.4;183.2;130.79;656.4;280.19;NA;100.59;239.95;50;NA;247.9;219.8;65;98;135.4;0;148.2;0;129;196.1
2014;135.1;411.3;156.9;113;105.69999999999999;337.3;89.1;NA;114.8;149.2;326.6;447.8;165;370.8;136.2;119.4;40;35.8;57.4;26.8;194;65.4;29.4;108.4;0;81.2;120.6;78.6;0;0;0;72;83.4;0;0;91.8;65.4;81.6;96.60000000000001;50.4;43.6;373.4;137.8;108.2;441;82.2;147.10000000000002
2015;158.7;351;0;129.5;217.9;479.8;205.9;322.6;243.5;138.8;651.4;126.2;302;882.4;199.4;365.8;174.20000000000002;186.8;98.8;71.6;196;NA;NA;148.2;39.2;106.4;194;NA;559.1999999999999;NA;162.4;203.2;NA;NA;NA;NA;NA;97.19999999999999;NA;400;278.4;245.8;282.8;165;1039;346.2;93
2016;102.9;175.9;306.1;96;NA;203.2;0;35.3;140.2;85.4;NA;194.39999999999998;NA;307.4;252;169.2;324;150.8;193.4;89.6;227.4;139.8;NA;154;NA;185.4;NA;276.4;142.8;NA;413.8;NA;NA;NA;125;NA;63.6;NA;NA;241.8;33.8;0;42.4;73.4;202.8;77;86.9
2017;145.8;328.17;35.05;371.1;NA;200.4;89.92;NA;0;77;166;281;275.8;149.6;149.6;28.4;224.8;78.4;70.6;30.4;140.8;61.2;76.8;48.2;41;NA;NA;126.6;0;178.2;300.6;410;121.4;51;268;0;69.1;76.9;382.8;141.2;240.6;131.4;154.8;NA;156.6;113;44.45
2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;279;176.39999999999998;348.4;155;363.2;548.8;32.2;215.2;252.60000000000002;192.6;168.8;308;260.8;363.8;423.2;654.5;469.4;231.2;383;258;313.9;334.2;NA;406.1;455;352.6;208.4;271.3;141.4;NA;233.6;135;243.4;269.6;182;287.2;232.2;NA
2019;638.8;0;30.99;39.12;0;123.19;23.88;NA;141.22;122.6;227;288.8;183.8;237.8;263.6;102;37.6;104;53.4;53.2;232.2;60.2;100.8;69;202.7;334;198.6;281.2;88.2;173.9;286.7;286;259.5;63;179.9;271.2;81;256.2;206.8;101;175;251.2;NA;NA;NA;61.2;58.68000000000001
2020;NA;75.94;43.94;33.02;NA;230.13;39.12;227.6;NA;38.4;108.8;104.8;56.6;124.8;275.4;87.8;293;167.6;197;134;325.4;NA;144.4;NA;78.8;NA;215.4;NA;293;NA;NA;NA;NA;NA;NA;NA;205.4;NA;82.4;105.8;0;NA;NA;NA;NA;53;152.15
