yy;aeronautica_6709;aeronautica_6721;aeronautica_6729;aeronautica_6768;aeronautica_6769;bolzano_5;bolzano_23;bolzano_102;bolzano_150;bolzano_172;emiliaromagna_9573;emiliaromagna_14158;emiliaromagna_14246;emiliaromagna_14271;emiliaromagna_9177;emiliaromagna_9230;emiliaromagna_9578;friuliveneziagiulia_2;friuliveneziagiulia_7;friuliveneziagiulia_12;friuliveneziagiulia_14;friuliveneziagiulia_15;friuliveneziagiulia_21;friuliveneziagiulia_47;liguria_5884;liguria_14437;lombardia_6031;piemonte_5649;trentino_6510;trentino_6541;trentino_6638;trentino_6576;trentino_6598;trentino_6615;valledaosta_26;valledaosta_44;valledaosta_83;veneto_5677;veneto_5720;aeronautica_6771
2009;303.6;37.1;283;NA;157.2;207.5;167.3;341.2;402.8;129.6;255.39999999999998;114.4;67.2;33;144.6;860.8;119.2;1077.6000000000001;618.7;442.9;631.1;597.6;1310.3;718.2;463.8;NA;795.8;558.4;NA;166.8;251.2;374.6;300;351.2;389.2;241.2;83.2;375;295.40000000000003;365.8
2010;419.5;212.4;239.7;93;353.6;87.7;288.4;187.8;154.6;58.400000000000006;85.19999999999999;196;190.6;0;279;912.4;387;2061.2;601.5;564.7;426.5;304.9;944.5;368.7;NA;408.2;327.8;368.4;895.4;160.2;NA;NA;348.2;395;309.2;580.2;151;456;272.8;277.9
2011;421.9;209.8;169.7;50.8;34;129.4;121.7;180.8;272;174.1;198.4;88.8;NA;0;29.4;298.6;71.2;667.6;236.10000000000002;349.5;364.5;456.3;561.9;528.6;NA;393.4;190.60000000000002;368.4;NA;259;331.4;424.4;187.4;168.2;434.6;559.2;165.4;251;259.6;296.8
2012;127.80000000000001;246.9;NA;88.9;258.8;122;141.7;407;359.8;167.2;235.4;NA;99.4;85.8;211.8;716;184.4;762.6;294.8;280.8;349.9;495.59999999999997;964;672.3;NA;489.8;285;274.4;373.8;307.8;269.6;628.8;233.8;343.8;171.4;242.6;0;426.2;119.4;43.9
2013;241.4;NA;354.1;245.1;225.9;126.6;221.8;187.8;285.7;110.8;450.2;192.6;102.6;77.4;234.4;713.8;248.6;988.4;224.8;548.4;671.6;474.3;371.1;362.8;260.8;358.4;359.4;517.4;423.4;334.2;302.8;427;332.59999999999997;270.6;355.2;309.4;153.4;213.8;267.8;0
2014;241;NA;513.3;113.3;312.8;171.4;135.5;221.2;292.4;161.5;573.4;NA;NA;42.8;138.4;1159.2;239.2;1481.8;619.8;547.5;493;947.6;1741.3;729.6;584;660.6;698;527.6;447;387.8;785.4;618;356.6;413.2;406.6;315.20000000000005;36.4;423.6;303.4;273.8
2015;77;NA;75.9;218.6;423.1;133.5;0;175.5;108.4;206.5;302.6;NA;56;312.4;177.2;212.6;354.2;214.8;334.20000000000005;323.90000000000003;338.4;558.2;485.8;343.4;0;370.6;169;89;171.2;34.4;48.6;223.60000000000002;82.6;153.4;128.2;139.60000000000002;75.2;145.4;34.2;0
2016;185.2;NA;196.1;43.9;293.2;70.9;27.5;192.5;233.79999999999998;135;129.6;129;277.6;106.8;310.40000000000003;720.8;215.8;187.60000000000002;150.6;262.7;226;389.6;670.3;439.90000000000003;56;731.6;411.4;143.2;246.6;233.6;121.6;212;53.2;197.8;202.2;440.40000000000003;146.8;209.6;289.4;56.9
2017;79;0;113.28999999999999;83.05;72.13;172.6;72.5;25.2;313.6;150.9;196.2;173.6;171;266;224;542;NA;560.8;208.6;275.6;587.3;375.2;1053.3999999999999;478.09999999999997;157.8;445.4;319.6;NA;76.4;118.80000000000001;145.8;174.6;404;315.8;42;0;41.8;191.6;36.4;54.1
2018;NA;NA;NA;NA;NA;112.8;NA;247.5;236.8;442.9;86.6;152.6;43.6;137.4;97.8;416;NA;686.2;120.6;130.6;48.6;118.7;501.6;242.1;440;526.6;56.6;365;516.8;516.2;254.8;412.6;233.4;225.8;564.4;684.4;331.2;493.6;169.8;NA
2019;337.06;181.85;410.98;70.11;191.27;176;NA;132.3;213.39999999999998;271.5;491.2;242.5;NA;123.2;295.2;1182.4;NA;1777.6;575.3;290.8;469.2;522.6;633.3;649;418.2;637;188.8;490;492.4;328;290.8;421.2;311;258.6;231.6;342.6;NA;590.8;155.4;148.07999999999998
2020;159.76999999999998;86.11;125.22;NA;72.89;303.6;429.2;324.1;NA;364.5;421.59999999999997;40.4;29.2;49.6;29.6;951.8000000000001;40.4;1384.2;310.3;427.1;728.9;439.8;810.4;713.2;50;492;376.8;312;577;377.8;440.4;362.8;339;569.4;NA;264.8;111;477;224.6;225.56
