yy;mm;dd;aeronautica_6709;aeronautica_6721;aeronautica_6729;aeronautica_6768;aeronautica_6769;bolzano_5;bolzano_23;bolzano_102;bolzano_150;bolzano_172;emiliaromagna_9573;emiliaromagna_14158;emiliaromagna_14246;emiliaromagna_14271;emiliaromagna_9177;emiliaromagna_9230;emiliaromagna_9578;friuliveneziagiulia_2;friuliveneziagiulia_7;friuliveneziagiulia_12;friuliveneziagiulia_14;friuliveneziagiulia_15;friuliveneziagiulia_21;friuliveneziagiulia_47;liguria_5884;liguria_14437;lombardia_6031;piemonte_5649;trentino_6510;trentino_6541;trentino_6638;trentino_6576;trentino_6598;trentino_6615;valledaosta_26;valledaosta_44;valledaosta_83;veneto_5677;veneto_5720;aeronautica_6771
1971;2;2;0;0.3;0;3.4;1.6;1.1;NA;2.3;0;2.6;0.6;0;0;0.4;0.4;0;0;6.4;0.8;0;0.2;0.4;3.8;2;0.4;2.6;2.4;0;0;1.2;NA;0;NA;40;0;0.4;0;1.5;NA;0
1971;2;3;0;0;0;0;0;0;NA;0;0;0;2.4;1.8;0;3.6;3.6;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;2;4;0;0;0;0;0;2.1;NA;4.4;2.7;0.4;0.2;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;2;5;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;2;6;0;0.2;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;2;7;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;2;8;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;4.9;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0.2
1971;2;9;0;0;0;0.2;0;0;NA;0;0;0;0;0;0;0;1.4;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;2;10;0;0.4;0;0.2;0.2;0;NA;0;0;0;0.2;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;2;11;0;0.4;0;0.2;0;0;NA;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
